Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
8/20/03,3.0025,0,0.3,2066,20.6458,0.016690445,-5.16
8/21/03,2.999,0,0.3,2066,20.6044,0.019502416,-5.16
8/22/03,2.9865,0,0.3,2066,20.4157,0.027162164,-5.16
8/25/03,2.9955,0,0.3,2066,20.3275,0.027479257,-5.16
8/26/03,2.987,0,0.3,2066,20.3086,0.027650705,-5.16
8/27/03,2.9561,0,0.3,2066,20.3632,0.032701145,-5.16
8/28/03,2.955,0,0.3,2066,21.0881,0.042074264,-5.16
8/29/03,2.976,0,0.3,2066,20.294,0.03442222,-5.16
9/1/03,2.9865,0,0.3,2683,21.0929,0.034287516,-5.16
9/2/03,2.963,0,0.3,2683,21.0929,0.035010036,-5.16
9/3/03,2.961,0,0.3,2683,19.9156,0.040236744,-5.16
9/4/03,2.9255,0,0.3,2683,20.1772,0.043690225,-5.16
9/5/03,2.907,0,0.3,2683,20.2234,0.050782818,-5.16
9/8/03,2.95,0,0.3,2683,19.8528,0.045004762,-5.16
9/9/03,2.9215,0,0.3,2683,19.8138,0.041495136,-5.16
9/10/03,2.891,0,0.3,2683,19.598,0.049945483,-5.16
9/11/03,2.9135,0,0.3,2683,19.1267,0.049710679,-5.16
9/12/03,2.902,0,0.3,2683,19.1831,0.045836927,-5.16
9/15/03,2.888,0,0.3,2683,19.1831,0.053748442,-5.16
9/16/03,2.908,0,0.3,2683,19.1817,0.050903283,-5.16
9/17/03,2.9072,0,0.3,2683,19.1129,0.0402865,-5.16
9/18/03,2.901,0,0.3,2683,19.0244,0.047040801,-5.16
9/19/03,2.902,0,0.3,2683,19.1141,0.039045467,-5.16
9/22/03,2.8935,0,0.3,2683,18.9617,0.03539061,-5.16
9/23/03,2.931,0,0.3,2683,18.9617,0.026590298,-5.16
9/24/03,2.9215,0,0.3,2683,18.98,0.030436724,-5.16
9/25/03,2.94,0,0.3,2683,18.8697,0.024573917,-5.16
9/26/03,2.935,0,0.3,2683,18.77,0.026345896,-5.16
9/29/03,2.9263,0,0.3,2683,18.77,0.020849574,-5.16
9/30/03,2.9,0,0.65,2675,18.6712,0.021588712,-5.92
10/1/03,2.895,0,0.65,2675,18.0218,0.02803287,-5.92
10/2/03,2.8875,0,0.65,2675,18.1023,0.030853145,-5.92
10/3/03,2.886,0,0.65,2675,17.9355,0.037654853,-5.92
10/6/03,2.8625,0,0.65,2675,17.5689,0.037187096,-5.92
10/7/03,2.859,0,0.65,2675,17.9474,0.039201293,-5.92
10/8/03,2.845,0,0.65,2675,17.9013,0.043465273,-5.92
10/9/03,2.8315,0,0.65,2675,17.5828,0.051522537,-5.92
